Word,Negative,Positive,Uncertainty,Litigious,Strong,Weak,Constraining
ABANDON,1,0,0,0,0,0,0
ABANDONED,1,0,0,0,0,0,0
ABANDONING,1,0,0,0,0,0,0
ABANDONMENT,1,0,0,0,0,0,0
ABANDONMENTS,1,0,0,0,0,0,0
ABANDONS,1,0,0,0,0,0,0
ABDICATED,1,0,0,0,0,0,0
ABDICATES,1,0,0,0,0,0,0
ABDICATING,1,0,0,0,0,0,0
ABDICATION,1,0,0,0,0,0,0
ABDICATIONS,1,0,0,0,0,0,0
ABERRANT,1,0,0,0,0,0,0
ABERRATION,1,0,0,0,0,0,0
ABERRATIONAL,1,0,0,0,0,0,0
ABERRATIONS,1,0,0,0,0,0,0
ABETTING,1,0,0,0,0,0,0
ABEYANCE,0,0,1,0,0,0,0
ABEYANCES,0,0,1,0,0,0,0
ABIDE,0,0,0,0,0,0,1
ABIDING,0,0,0,0,0,0,1
ABLE,0,1,0,0,0,0,0
ABNORMAL,1,0,0,0,0,0,0
ABNORMALITIES,1,0,0,0,0,0,0
ABNORMALITY,1,0,0,0,0,0,0
ABNORMALLY,1,0,0,0,0,0,0
ABOLISH,1,0,0,0,0,0,0
ABOLISHED,1,0,0,0,0,0,0
ABOLISHES,1,0,0,0,0,0,0
ABOLISHING,1,0,0,0,0,0,0
ABOVEMENTIONED,0,0,0,1,0,0,0
ABROGATE,1,0,0,1,0,0,0
ABROGATED,1,0,0,1,0,0,0
ABROGATES,1,0,0,1,0,0,0
ABROGATING,1,0,0,1,0,0,0
ABROGATION,1,0,0,1,0,0,0
ABROGATIONS,1,0,0,1,0,0,0
ABRUPT,1,0,0,0,0,0,0
ABRUPTLY,1,0,0,0,0,0,0
ABRUPTNESS,1,0,0,0,0,0,0
ABSENCE,1,0,0,0,0,0,0
ABSENCES,1,0,0,0,0,0,0
ABSENTEEISM,1,0,0,0,0,0,0
ABSOLVE,0,0,0,1,0,0,0
ABSOLVED,0,0,0,1,0,0,0
ABSOLVES,0,0,0,1,0,0,0
ABSOLVING,0,0,0,1,0,0,0
ABUNDANCE,0,1,0,0,0,0,0
ABUNDANT,0,1,0,0,0,0,0
ABUSE,1,0,0,0,0,0,0
ABUSED,1,0,0,0,0,0,0
ABUSES,1,0,0,0,0,0,0
ABUSING,1,0,0,0,0,0,0
ABUSIVE,1,0,0,0,0,0,0
ABUSIVELY,1,0,0,0,0,0,0
ABUSIVENESS,1,0,0,0,0,0,0
ACCESSION,0,0,0,1,0,0,0
ACCESSIONS,0,0,0,1,0,0,0
ACCIDENT,1,0,0,0,0,0,0
ACCIDENTAL,1,0,0,0,0,0,0
ACCIDENTALLY,1,0,0,0,0,0,0
ACCIDENTS,1,0,0,0,0,0,0
ACCLAIMED,0,1,0,0,0,0,0
ACCOMPLISH,0,1,0,0,0,0,0
ACCOMPLISHED,0,1,0,0,0,0,0
ACCOMPLISHES,0,1,0,0,0,0,0
ACCOMPLISHING,0,1,0,0,0,0,0
ACCOMPLISHMENT,0,1,0,0,0,0,0
ACCOMPLISHMENTS,0,1,0,0,0,0,0
ACCUSATION,1,0,0,0,0,0,0
ACCUSATIONS,1,0,0,0,0,0,0
ACCUSE,1,0,0,0,0,0,0
ACCUSED,1,0,0,0,0,0,0
ACCUSES,1,0,0,0,0,0,0
ACCUSING,1,0,0,0,0,0,0
ACHIEVE,0,1,0,0,0,0,0
ACHIEVED,0,1,0,0,0,0,0
ACHIEVEMENT,0,1,0,0,0,0,0
ACHIEVEMENTS,0,1,0,0,0,0,0
ACHIEVES,0,1,0,0,0,0,0
ACHIEVING,0,1,0,0,0,0,0
ACQUIESCE,1,0,0,0,0,0,0
ACQUIESCED,1,0,0,0,0,0,0
ACQUIESCES,1,0,0,0,0,0,0
ACQUIESCING,1,0,0,0,0,0,0
ACQUIREES,0,0,0,1,0,0,0
ACQUIRORS,0,0,0,1,0,0,0
ACQUIT,1,0,0,1,0,0,0
ACQUITS,1,0,0,1,0,0,0
ACQUITTAL,1,0,0,1,0,0,0
ACQUITTALS,1,0,0,1,0,0,0
ACQUITTANCE,0,0,0,1,0,0,0
ACQUITTANCES,0,0,0,1,0,0,0
ACQUITTED,1,0,0,1,0,0,0
ACQUITTING,1,0,0,1,0,0,0
ADDENDUMS,0,0,0,1,0,0,0
ADEQUATELY,0,1,0,0,0,0,0
ADJOURN,0,0,0,1,0,0,0
ADJOURNED,0,0,0,1,0,0,0
ADJOURNING,0,0,0,1,0,0,0
ADJOURNMENT,0,0,0,1,0,0,0
ADJOURNMENTS,0,0,0,1,0,0,0
ADJOURNS,0,0,0,1,0,0,0
ADJUDGE,0,0,0,1,0,0,0
ADJUDGED,0,0,0,1,0,0,0
ADJUDGES,0,0,0,1,0,0,0
ADJUDGING,0,0,0,1,0,0,0
ADJUDICATE,0,0,0,1,0,0,0
ADJUDICATED,0,0,0,1,0,0,0
ADJUDICATES,0,0,0,1,0,0,0
ADJUDICATING,0,0,0,1,0,0,0
ADJUDICATION,0,0,0,1,0,0,0
ADJUDICATIONS,0,0,0,1,0,0,0
ADJUDICATIVE,0,0,0,1,0,0,0
ADJUDICATOR,0,0,0,1,0,0,0
ADJUDICATORS,0,0,0,1,0,0,0
ADJUDICATORY,0,0,0,1,0,0,0
ADMISSIBILITY,0,0,0,1,0,0,0
ADMISSIBLE,0,0,0,1,0,0,0
ADMISSIBLY,0,0,0,1,0,0,0
ADMISSION,0,0,0,1,0,0,0
ADMISSIONS,0,0,0,1,0,0,0
ADULTERATE,1,0,0,0,0,0,0
ADULTERATED,1,0,0,0,0,0,0
ADULTERATING,1,0,0,0,0,0,0
ADULTERATION,1,0,0,0,0,0,0
ADULTERATIONS,1,0,0,0,0,0,0
ADVANCEMENT,0,1,0,0,0,0,0
ADVANCEMENTS,0,1,0,0,0,0,0
ADVANCES,0,1,0,0,0,0,0
ADVANCING,0,1,0,0,0,0,0
ADVANTAGE,0,1,0,0,0,0,0
ADVANTAGED,0,1,0,0,0,0,0
ADVANTAGEOUS,0,1,0,0,0,0,0
ADVANTAGEOUSLY,0,1,0,0,0,0,0
ADVANTAGES,0,1,0,0,0,0,0
ADVERSARIAL,1,0,0,0,0,0,0
ADVERSARIES,1,0,0,0,0,0,0
ADVERSARY,1,0,0,0,0,0,0
ADVERSE,1,0,0,0,0,0,0
ADVERSELY,1,0,0,0,0,0,0
ADVERSITIES,1,0,0,0,0,0,0
ADVERSITY,1,0,0,0,0,0,0
AFFIDAVIT,0,0,0,1,0,0,0
AFFIDAVITS,0,0,0,1,0,0,0
AFFIRMANCE,0,0,0,1,0,0,0
AFFREIGHTMENT,0,0,0,1,0,0,0
AFOREDESCRIBED,0,0,0,1,0,0,0
AFOREMENTIONED,0,0,0,1,0,0,0
AFORESAID,0,0,0,1,0,0,0
AFORESTATED,0,0,0,1,0,0,0
AFTERMATH,1,0,0,0,0,0,0
AFTERMATHS,1,0,0,0,0,0,0
AGAINST,1,0,0,0,0,0,0
AGGRAVATE,1,0,0,0,0,0,0
AGGRAVATED,1,0,0,0,0,0,0
AGGRAVATES,1,0,0,0,0,0,0
AGGRAVATING,1,0,0,0,0,0,0
AGGRAVATION,1,0,0,0,0,0,0
AGGRAVATIONS,1,0,0,0,0,0,0
AGGRIEVED,0,0,0,1,0,0,0
ALERTED,1,0,0,0,0,0,0
ALERTING,1,0,0,0,0,0,0
ALIENATE,1,0,0,0,0,0,0
ALIENATED,1,0,0,0,0,0,0
ALIENATES,1,0,0,0,0,0,0
ALIENATING,1,0,0,0,0,0,0
ALIENATION,1,0,0,0,0,0,0
ALIENATIONS,1,0,0,0,0,0,0
ALLEGATION,1,0,0,1,0,0,0
ALLEGATIONS,1,0,0,1,0,0,0
ALLEGE,1,0,0,1,0,0,0
ALLEGED,1,0,0,1,0,0,0
ALLEGEDLY,1,0,0,1,0,0,0
ALLEGES,1,0,0,1,0,0,0
ALLEGING,1,0,0,1,0,0,0
ALLIANCE,0,1,0,0,0,0,0
ALLIANCES,0,1,0,0,0,0,0
