Month / Year,Average Compound,Average Polarity,Average Subjectivity,Average lm_score,EOM,VALUES,VLOOKUP,check,UK Core inflation (%),UK Unemployment (%),UK Average Weekly earnings growth (%),UK GDP growth (%),UK benchmark rate (%),UK Economic Inactivity rate (%),UK house price index mom (%)
Sep-98,0.9925,0.083288455,0.435206215,-0.212121212,Sep-98,Sep-98,Sep-98,TRUE,1.3,6.2,#N/A,0.1,7.5,23.6,0.3
Oct-98,0.99915,0.084071446,0.381859382,-0.16372907,Oct-98,Oct-98,Oct-98,TRUE,1.2,6.2,#N/A,0.5,7.5,23.6,1
Nov-98,0.998033333,0.081633318,0.42914431,-0.316235776,Nov-98,Nov-98,Nov-98,TRUE,1.1,6.1,#N/A,0.2,7.25,23.5,-0.1
Dec-98,0.9994,0.07917237,0.411767204,-0.348099356,Dec-98,Dec-98,Dec-98,TRUE,1.2,6.2,#N/A,0.3,6.75,23.5,-0.2
Jan-99,0.9976,0.086974717,0.395354671,-0.266016811,Jan-99,Jan-99,Jan-99,TRUE,1.2,6.2,#N/A,0.2,6.25,23.3,0.7
Feb-99,0.99945,0.088004656,0.403372805,-0.060952339,Feb-99,Feb-99,Feb-99,TRUE,1,6.2,#N/A,0.1,6,23.3,0.5
Mar-99,0.99975,0.102209193,0.42320964,0.032467532,Mar-99,Mar-99,Mar-99,TRUE,0.9,6.2,#N/A,0.2,5.5,23.4,1.3
May-99,0.99972,0.095277085,0.410692378,0.034791291,May-99,May-99,May-99,TRUE,0.8,6,#N/A,0.9,5.25,23.5,2.2
Jun-99,0.999466667,0.109327142,0.406826046,0.137608886,Jun-99,Jun-99,Jun-99,TRUE,0.8,6,#N/A,0.2,5.25,23.4,1.4
Aug-99,-0.1476,0.055358221,0.364741087,-0.654952077,Aug-99,Aug-99,Aug-99,TRUE,0.7,5.9,#N/A,0.3,5,23.4,1.3
Sep-99,0.9993,0.072702588,0.429427007,-0.328787084,Sep-99,Sep-99,Sep-99,TRUE,0.5,5.8,#N/A,0.5,5,23.3,1.5
Oct-99,0.994633333,0.08834806,0.404242898,-0.032635612,Oct-99,Oct-99,Oct-99,TRUE,0.5,5.8,#N/A,0.9,5.25,23.4,1.9
Nov-99,0.00025,0.089313376,0.384851929,-0.29220586,Nov-99,Nov-99,Nov-99,TRUE,0.4,5.8,#N/A,0.6,5.25,23.3,0.6
Dec-99,0.991425,0.100838531,0.420701014,-0.221009336,Dec-99,Dec-99,Dec-99,TRUE,0.3,5.9,#N/A,-0.2,5.5,23.2,2.8
Jan-00,0.999533333,0.11081602,0.39550122,0.007596996,Jan-00,Jan-00,Jan-00,TRUE,0.1,5.8,#N/A,1.3,5.5,23.3,0.7
Feb-00,0.99976,0.111022039,0.418546923,0.039190902,Feb-00,Feb-00,Feb-00,TRUE,0.2,5.8,#N/A,-0.1,5.75,23.3,0.3
Mar-00,0.99935,0.09889209,0.440522833,0.087556955,Mar-00,Mar-00,Mar-00,TRUE,0.1,5.7,#N/A,-0.5,6,23.2,0.6
Apr-00,0.999,0.097191125,0.424481704,-0.118376147,Apr-00,Apr-00,Apr-00,TRUE,0,5.6,#N/A,0.4,6,23.2,0.9
May-00,0.999825,0.107428879,0.439249172,-0.02233008,May-00,May-00,May-00,TRUE,0,5.5,#N/A,0.8,6,23.2,0.3
Jun-00,0.999475,0.1314824,0.427976257,0.159719948,Jun-00,Jun-00,Jun-00,TRUE,-0.1,5.3,#N/A,0.7,6,23.3,0.1
Jul-00,0.9992,0.132588221,0.421418686,0.209680829,Jul-00,Jul-00,Jul-00,TRUE,-0.1,5.3,#N/A,-0.7,6,23.3,0.7
Aug-00,0.9997,0.130498248,0.433193778,0.089189445,Aug-00,Aug-00,Aug-00,TRUE,0,5.3,#N/A,1,6,23.3,-0.5
Sep-00,0.02705,0.119569464,0.396169891,-0.064619707,Sep-00,Sep-00,Sep-00,TRUE,0.1,5.4,#N/A,-0.1,6,23.2,2.2
Oct-00,0.999033333,0.161251851,0.469559431,0.244025566,Oct-00,Oct-00,Oct-00,TRUE,0.3,5.3,#N/A,0.1,6,23.3,0.2
Nov-00,0.996733333,0.098873776,0.412601873,-0.096281197,Nov-00,Nov-00,Nov-00,TRUE,0.2,5.2,#N/A,0.4,6,23.5,0.7
Jan-01,0.9997,0.109255744,0.409630039,-0.058305183,Jan-01,Jan-01,Jan-01,TRUE,0.5,5.2,#N/A,0.2,6,23.3,1
Feb-01,0.998966667,0.100302086,0.437040608,-0.207906827,Feb-01,Feb-01,Feb-01,TRUE,0.4,5.1,#N/A,0,6,23.3,1.2
