Month / Year,Sentiment_LM,Inflation_Core,Unemployment,Wages_growth,GDP_growth,Benchmark_rate,Economic_Inactivity_rate,House_price_index
Sep-98,-0.212121212,1.3,6.2,0.0,0.1,7.5,23.6,0.3
Oct-98,-0.16372907,1.2,6.2,0.0,0.5,7.5,23.6,1.0
Nov-98,-0.316235776,1.1,6.1,0.0,0.2,7.25,23.5,-0.1
Dec-98,-0.348099356,1.2,6.2,0.0,0.3,6.75,23.5,-0.2
Jan-99,-0.266016811,1.2,6.2,0.0,0.2,6.25,23.3,0.7
Feb-99,-0.060952339,1.0,6.2,0.0,0.1,6.0,23.3,0.5
Mar-99,0.032467532,0.9,6.2,0.0,0.2,5.5,23.4,1.3
May-99,0.034791291,0.8,6.0,0.0,0.9,5.25,23.5,2.2
Jun-99,0.137608886,0.8,6.0,0.0,0.2,5.25,23.4,1.4
Aug-99,-0.654952077,0.7,5.9,0.0,0.3,5.0,23.4,1.3
Sep-99,-0.328787084,0.5,5.8,0.0,0.5,5.0,23.3,1.5
Oct-99,-0.032635612,0.5,5.8,0.0,0.9,5.25,23.4,1.9
Nov-99,-0.29220586,0.4,5.8,0.0,0.6,5.25,23.3,0.6
Dec-99,-0.221009336,0.3,5.9,0.0,-0.2,5.5,23.2,2.8
Jan-00,0.007596996,0.1,5.8,0.0,1.3,5.5,23.3,0.7
Feb-00,0.039190902,0.2,5.8,0.0,-0.1,5.75,23.3,0.3
Mar-00,0.087556955,0.1,5.7,0.0,-0.5,6.0,23.2,0.6
Apr-00,-0.118376147,0.0,5.6,0.0,0.4,6.0,23.2,0.9
May-00,-0.02233008,0.0,5.5,0.0,0.8,6.0,23.2,0.3
Jun-00,0.159719948,-0.1,5.3,0.0,0.7,6.0,23.3,0.1
Jul-00,0.209680829,-0.1,5.3,0.0,-0.7,6.0,23.3,0.7
Aug-00,0.089189445,0.0,5.3,0.0,1.0,6.0,23.3,-0.5
Sep-00,-0.064619707,0.1,5.4,0.0,-0.1,6.0,23.2,2.2
Oct-00,0.244025566,0.3,5.3,0.0,0.1,6.0,23.3,0.2
Nov-00,-0.096281197,0.2,5.2,0.0,0.4,6.0,23.5,0.7
Jan-01,-0.058305183,0.5,5.2,0.0,0.2,6.0,23.3,1.0
Feb-01,-0.207906827,0.4,5.1,0.0,0.0,6.0,23.3,1.2
Mar-01,-0.080212463,0.5,5.0,6.1,0.8,5.75,23.4,1.0
Apr-01,0.060904293,0.9,4.9,6.2,-0.4,5.75,23.4,1.8
May-01,-0.162198703,1.1,5.0,5.1,0.2,5.5,23.5,0.7
Jun-01,-0.307617432,1.3,5.0,5.5,0.4,5.25,23.4,1.6
Jul-01,-0.457258436,1.5,5.1,5.2,-0.1,5.25,23.5,0.7
Aug-01,-0.130434783,1.8,5.1,5.3,0.2,5.25,23.5,1.1
Sep-01,-0.224057953,1.3,5.1,4.8,-0.1,5.0,23.5,1.0
Oct-01,-0.194954879,1.1,5.1,4.8,0.2,4.75,23.5,0.5
Nov-01,-0.024462604,1.1,5.2,4.6,0.0,4.5,23.4,1.3
Dec-01,-0.194726166,1.4,5.2,4.2,0.0,4.0,23.4,1.8
Jan-02,0.269493844,1.7,5.1,3.8,0.3,4.0,23.5,2.2
Feb-02,0.031398093,1.6,5.2,3.2,-0.2,4.0,23.6,1.6
Mar-02,-0.230879321,1.6,5.2,3.0,0.3,4.0,23.6,0.5
Apr-02,-0.090517178,1.4,5.2,3.0,0.8,4.0,23.4,2.1
May-02,-0.144125447,1.3,5.2,3.3,0.5,4.0,23.3,2.5
Jun-02,0.074227755,1.3,5.2,3.7,-2.3,4.0,23.3,1.9
Sep-02,-0.103340246,1.2,5.2,3.4,0.4,4.0,23.3,1.7
Oct-02,-0.184717557,1.6,5.2,3.1,0.1,4.0,23.2,2.1
Nov-02,-0.076167916,1.6,5.1,3.0,0.2,4.0,23.2,1.9
Dec-02,-0.114743331,1.7,5.0,2.8,0.2,4.0,23.2,1.9
Jan-03,-0.137170522,1.5,5.1,2.5,0.4,4.0,23.4,0.5
Feb-03,-0.266375546,1.7,5.2,2.2,0.4,4.0,23.4,1.3
Mar-03,-0.136394324,1.5,5.1,2.8,-0.2,3.75,23.3,1.4
Jun-03,0.321494567,1.0,5.1,2.7,0.7,3.75,23.3,1.3
Jul-03,-0.568627451,1.3,5.1,2.7,0.4,3.75,23.2,1.0
Aug-03,-0.385321101,1.2,5.0,2.9,0.1,3.5,23.3,1.3
Sep-03,-0.206896552,1.3,5.0,3.3,0.5,3.5,23.3,1.1
Oct-03,0.047459893,1.2,4.9,3.7,0.5,3.5,23.3,2.3
Nov-03,-0.271859327,1.1,4.9,3.9,-0.4,3.5,23.4,0.5
Jan-04,-0.170761995,1.2,4.8,5.1,-0.2,3.75,23.3,0.6
Feb-04,0.018867925,1.1,4.8,4.9,0.1,3.75,23.2,1.7
Mar-04,-0.344343417,1.0,4.8,4.7,0.2,4.0,23.2,1.8
Apr-04,-0.156352045,1.0,4.8,3.7,-0.2,4.0,23.3,1.7
Jun-04,0.29869281,1.3,4.8,4.2,0.2,4.25,23.4,1.4
Jul-04,-0.112912575,1.2,4.7,4.1,-0.1,4.5,23.5,1.0
Aug-04,-0.365079365,1.1,4.7,4.1,-0.2,4.5,23.5,-0.1
Sep-04,0.285714286,0.9,4.7,4.1,0.3,4.75,23.5,0.5
Oct-04,-0.038728186,0.9,4.7,4.2,0.4,4.75,23.5,1.4
Nov-04,-0.057285307,1.1,4.7,4.2,0.1,4.75,23.4,-0.4
Dec-04,-0.36969697,1.3,4.7,4.3,0.0,4.75,23.3,0.3
Jan-05,-0.115143003,1.3,4.8,4.2,1.0,4.75,23.2,0.6
Feb-05,-0.132455643,1.2,4.7,4.6,-0.1,4.75,23.1,-0.5
