Month / Year,Sentiment_LM,Sentiment_Finbert,Core_Inflation,Unemployment,Ave_Weekly_earnings_growth,GDP_growth,Benchmark_interest_rate,Economic_Inactivity rate,House_Price_index,Consumer_Confidence,FTSE100,GBP_USD
Sep-98,-0.24,-0.19,0.1,0,#N/A,0.1,0,0,0.3,2,-3.59,2.9
Oct-98,-0.16,-0.21,-0.1,0,#N/A,0.5,-0.25,0,1,-6,7.13,0.72
Nov-98,-0.32,-0.09,-0.1,-0.1,#N/A,0.2,-0.5,-0.1,-0.1,2,7.2,-1.99
Dec-98,-0.35,-0.09,0.1,0.1,#N/A,0.3,-0.5,0,-0.2,-1,0.65,0.58
Jan-99,-0.28,-0.29,0,0,#N/A,0.2,-0.25,-0.2,0.7,5,0.23,-1.23
Feb-99,-0.08,-0.05,-0.2,0,#N/A,0.1,-0.5,0,0.5,2,4.63,-1.39
Mar-99,0.05,0,-0.1,0,#N/A,0.2,0,0.1,1.3,2,1.93,-0.34
May-99,0.03,-0.05,-0.1,-0.1,#N/A,0.9,0,0.1,2.2,4,-5.1,0.37
Jun-99,0.13,0.05,0,0,#N/A,0.2,-0.25,-0.1,1.4,0,1.47,-1.27
Aug-99,-0.65,-0.3,0,0,#N/A,0.3,0,-0.1,1.3,2,0.23,1.92
Sep-99,-0.34,-0.1,-0.2,-0.1,#N/A,0.5,0.25,-0.1,1.5,-2,-3.53,1.18
Oct-99,-0.03,-0.05,0,0,#N/A,0.9,0,0.1,1.9,0,3.68,1.97
Nov-99,-0.28,0.02,-0.1,0,#N/A,0.6,0.25,-0.1,0.6,-4,5.31,-2.23
Dec-99,-0.23,-0.07,-0.1,0.1,#N/A,-0.2,0,-0.1,2.8,3,4.92,-0.49
Jan-00,-0.01,-0.04,-0.2,-0.1,#N/A,1.3,0.25,0.1,0.7,7,-10.03,1.73
Feb-00,0.03,0,0.1,0,#N/A,-0.1,0.25,0,0.3,-6,-0.58,-2.49
Mar-00,0.08,-0.04,-0.1,-0.1,#N/A,-0.5,0,-0.1,0.6,-4,4.82,-1.34
Apr-00,-0.12,-0.09,-0.1,-0.1,#N/A,0.4,0,0,0.9,-2,-3.31,0.23
